country,state,city,date,vacant_days,reserved_days,occupancy,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg
Turkey,Istanbul,Kadıköy,2025-02-01,7.0,21.0,0.75,41.0,7.0,4.0,2.0
Turkey,Istanbul,Kadıköy,2025-03-01,4.0,27.0,0.871,40.7,34.0,4.0,3.0
Turkey,Istanbul,Kadıköy,2025-04-01,8.0,22.0,0.733,40.3,15.0,4.0,3.0
Turkey,Istanbul,Kadıköy,2025-05-01,3.0,28.0,0.903,39.9,23.0,10.0,3.0
Turkey,Istanbul,Kadıköy,2025-06-01,23.0,7.0,0.233,45.7,13.0,4.0,3.0
Turkey,Istanbul,Kadıköy,2025-07-01,8.0,23.0,0.742,50.0,11.0,5.0,3.0
Turkey,Istanbul,Kadıköy,2025-08-01,1.0,30.0,0.968,41.2,8.0,6.0,3.0
Turkey,Istanbul,Kadıköy,2025-09-01,1.0,29.0,0.967,37.9,31.0,9.0,2.0
Turkey,Istanbul,Kadıköy,2025-10-01,11.0,20.0,0.645,37.8,,,3.0
Turkey,Istanbul,Kadıköy,2026-01-01,21.0,10.0,0.323,38.7,25.0,7.0,3.0
Turkey,Istanbul,Kadıköy,2025-02-01,10.0,18.0,0.643,66.1,12.0,10.0,2.0
Turkey,Istanbul,Kadıköy,2025-03-01,9.0,22.0,0.71,66.9,31.0,4.0,2.0
Turkey,Istanbul,Kadıköy,2025-04-01,7.0,23.0,0.767,71.7,50.0,4.0,2.0
Turkey,Istanbul,Kadıköy,2025-05-01,16.0,15.0,0.484,87.7,44.0,4.0,2.0
Turkey,Istanbul,Kadıköy,2025-06-01,8.0,22.0,0.733,89.0,58.0,3.0,2.0
Turkey,Istanbul,Kadıköy,2025-07-01,15.0,16.0,0.516,91.1,2.0,3.0,2.0
Turkey,Istanbul,Kadıköy,2025-08-01,16.0,15.0,0.484,98.0,6.0,3.0,2.0
Turkey,Istanbul,Kadıköy,2025-09-01,8.0,22.0,0.733,102.2,66.0,7.0,2.0
Turkey,Istanbul,Kadıköy,2025-10-01,6.0,25.0,0.806,93.8,19.0,5.0,2.0
Turkey,Istanbul,Kadıköy,2025-11-01,23.0,7.0,0.233,89.3,6.0,3.0,2.0
Turkey,Istanbul,Kadıköy,2026-01-01,26.0,5.0,0.161,84.4,8.0,5.0,2.0
Turkey,Istanbul,Kadıköy,2025-02-01,20.0,8.0,0.286,70.1,5.0,2.0,2.0
Turkey,Istanbul,Kadıköy,2025-03-01,9.0,22.0,0.71,67.0,5.0,11.0,2.0
Turkey,Istanbul,Kadıköy,2025-04-01,6.0,24.0,0.8,66.5,41.0,5.0,1.0
Turkey,Istanbul,Kadıköy,2025-05-01,11.0,20.0,0.645,69.6,23.0,3.0,1.0
Turkey,Istanbul,Kadıköy,2025-06-01,26.0,4.0,0.133,75.8,26.0,4.0,1.0
Turkey,Istanbul,Kadıköy,2025-07-01,15.0,16.0,0.516,74.1,10.0,5.0,1.0
Turkey,Istanbul,Kadıköy,2025-08-01,24.0,7.0,0.226,81.6,32.0,3.0,2.0
Turkey,Istanbul,Kadıköy,2025-09-01,26.0,4.0,0.133,92.0,159.0,4.0,2.0
Turkey,Istanbul,Kadıköy,2025-03-01,20.0,11.0,0.355,34.5,2.0,34.0,62.0
Turkey,Istanbul,Kadıköy,2025-04-01,6.0,24.0,0.8,34.8,42.0,35.0,2.0
Turkey,Istanbul,Kadıköy,2025-05-01,0.0,31.0,1.0,36.8,,,2.0
Turkey,Istanbul,Kadıköy,2025-06-01,27.0,3.0,0.1,38.0,,,2.0
Turkey,Istanbul,Kadıköy,2025-02-01,4.0,24.0,0.857,101.8,14.0,6.0,6.0
Turkey,Istanbul,Kadıköy,2025-03-01,11.0,20.0,0.645,107.0,24.0,4.0,3.0
Turkey,Istanbul,Kadıköy,2025-04-01,3.0,27.0,0.9,105.6,24.0,6.0,3.0
Turkey,Istanbul,Kadıköy,2025-05-01,6.0,25.0,0.806,105.2,32.0,3.0,3.0
Turkey,Istanbul,Kadıköy,2025-06-01,6.0,24.0,0.8,108.2,34.0,6.0,4.0
Turkey,Istanbul,Kadıköy,2025-07-01,2.0,29.0,0.935,107.3,72.0,6.0,3.0
Turkey,Istanbul,Kadıköy,2025-08-01,13.0,18.0,0.581,107.6,79.0,5.0,4.0
Turkey,Istanbul,Kadıköy,2025-09-01,15.0,15.0,0.5,121.7,37.0,5.0,4.0
Turkey,Istanbul,Kadıköy,2025-10-01,5.0,26.0,0.839,116.6,47.0,7.0,3.0
Turkey,Istanbul,Kadıköy,2025-11-01,12.0,18.0,0.6,118.8,16.0,5.0,3.0
Turkey,Istanbul,Kadıköy,2025-12-01,15.0,16.0,0.516,121.4,15.0,6.0,4.0
Turkey,Istanbul,Kadıköy,2026-01-01,6.0,25.0,0.806,114.0,9.0,22.0,4.0
Turkey,Istanbul,Kadıköy,2025-02-01,27.0,1.0,0.036,181.0,,,5.0
Turkey,Istanbul,Kadıköy,2025-06-01,27.0,3.0,0.1,167.0,10.0,16.0,5.0
Turkey,Istanbul,Kadıköy,2025-07-01,18.0,13.0,0.419,167.0,,,5.0
Turkey,Istanbul,Kadıköy,2025-12-01,25.0,6.0,0.194,174.0,11.0,7.0,5.0
Turkey,Istanbul,Kadıköy,2026-01-01,30.0,1.0,0.032,176.0,,,4.0
Turkey,Istanbul,Kadıköy,2025-02-01,3.0,25.0,0.893,137.7,3.0,5.0,2.0
Turkey,Istanbul,Kadıköy,2025-03-01,8.0,23.0,0.742,123.4,4.0,3.0,3.0
Turkey,Istanbul,Kadıköy,2025-04-01,7.0,23.0,0.767,123.2,7.0,3.0,3.0
Turkey,Istanbul,Kadıköy,2025-05-01,5.0,26.0,0.839,112.3,6.0,3.0,3.0
Turkey,Istanbul,Kadıköy,2025-06-01,5.0,25.0,0.833,121.3,8.0,5.0,3.0
Turkey,Istanbul,Kadıköy,2025-07-01,6.0,25.0,0.806,102.6,9.0,5.0,3.0
Turkey,Istanbul,Kadıköy,2025-08-01,4.0,27.0,0.871,100.6,11.0,3.0,3.0
Turkey,Istanbul,Kadıköy,2025-09-01,6.0,24.0,0.8,95.4,11.0,4.0,3.0
Turkey,Istanbul,Kadıköy,2025-10-01,4.0,27.0,0.871,99.0,6.0,4.0,3.0
Turkey,Istanbul,Kadıköy,2025-11-01,7.0,23.0,0.767,98.4,3.0,3.0,3.0
Turkey,Istanbul,Kadıköy,2025-12-01,21.0,10.0,0.323,95.7,9.0,3.0,3.0
Turkey,Istanbul,Kadıköy,2026-01-01,17.0,14.0,0.452,101.1,2.0,4.0,3.0
Turkey,Istanbul,Kadıköy,2025-02-01,9.0,19.0,0.679,71.2,3.0,4.0,1.0
Turkey,Istanbul,Kadıköy,2025-03-01,0.0,31.0,1.0,71.2,3.0,35.0,1.0
Turkey,Istanbul,Kadıköy,2025-04-01,10.0,20.0,0.667,71.9,3.0,5.0,1.0
Turkey,Istanbul,Kadıköy,2025-05-01,24.0,7.0,0.226,124.9,6.0,3.0,1.0
Turkey,Istanbul,Kadıköy,2025-02-01,6.0,22.0,0.786,76.7,7.0,5.0,4.0
Turkey,Istanbul,Kadıköy,2025-03-01,10.0,21.0,0.677,78.4,8.0,7.0,5.0
Turkey,Istanbul,Kadıköy,2025-04-01,4.0,26.0,0.867,80.8,27.0,5.0,4.0
Turkey,Istanbul,Kadıköy,2025-05-01,4.0,27.0,0.871,80.0,22.0,3.0,4.0
Turkey,Istanbul,Kadıköy,2025-06-01,11.0,19.0,0.633,80.9,32.0,7.0,4.0
Turkey,Istanbul,Kadıköy,2025-07-01,4.0,27.0,0.871,96.3,10.0,8.0,5.0
Turkey,Istanbul,Kadıköy,2025-08-01,8.0,23.0,0.742,83.0,7.0,2.0,5.0
Turkey,Istanbul,Kadıköy,2025-09-01,6.0,24.0,0.8,80.6,14.0,4.0,4.0
Turkey,Istanbul,Kadıköy,2025-10-01,14.0,17.0,0.548,75.8,22.0,3.0,4.0
Turkey,Istanbul,Kadıköy,2025-11-01,5.0,25.0,0.833,77.8,14.0,7.0,4.0
Turkey,Istanbul,Kadıköy,2025-12-01,8.0,23.0,0.742,78.1,17.0,2.0,4.0
Turkey,Istanbul,Kadıköy,2026-01-01,9.0,22.0,0.71,76.3,2.0,5.0,4.0
Turkey,Istanbul,Kadıköy,2025-02-01,9.0,19.0,0.679,92.0,3.0,1.0,1.0
Turkey,Istanbul,Kadıköy,2025-03-01,17.0,14.0,0.452,90.1,1.0,2.0,1.0
Turkey,Istanbul,Kadıköy,2025-04-01,10.0,20.0,0.667,88.5,3.0,1.0,1.0
Turkey,Istanbul,Kadıköy,2025-05-01,13.0,18.0,0.581,86.7,2.0,1.0,1.0
Turkey,Istanbul,Kadıköy,2025-06-01,10.0,20.0,0.667,81.2,11.0,2.0,1.0
Turkey,Istanbul,Kadıköy,2025-07-01,15.0,16.0,0.516,82.3,1.0,2.0,1.0
Turkey,Istanbul,Kadıköy,2025-08-01,14.0,17.0,0.548,77.6,2.0,1.0,1.0
Turkey,Istanbul,Kadıköy,2025-09-01,15.0,15.0,0.5,74.1,2.0,2.0,1.0
Turkey,Istanbul,Kadıköy,2025-10-01,15.0,16.0,0.516,73.3,2.0,1.0,1.0
Turkey,Istanbul,Kadıköy,2025-11-01,8.0,22.0,0.733,70.7,2.0,1.0,1.0
Turkey,Istanbul,Kadıköy,2025-12-01,8.0,23.0,0.742,69.8,3.0,1.0,1.0
Turkey,Istanbul,Kadıköy,2026-01-01,10.0,21.0,0.677,72.6,3.0,1.0,1.0
Turkey,Istanbul,Kadıköy,2025-06-01,21.0,9.0,0.3,143.8,1.0,9.0,1.0
Turkey,Istanbul,Kadıköy,2025-07-01,30.0,1.0,0.032,152.0,1.0,1.0,1.0
Turkey,Istanbul,Kadıköy,2026-01-01,26.0,5.0,0.161,137.4,1.0,5.0,1.0
Turkey,Istanbul,Kadıköy,2025-02-01,23.0,5.0,0.179,73.2,7.0,3.0,4.0
Turkey,Istanbul,Kadıköy,2025-03-01,4.0,27.0,0.871,73.8,10.0,8.0,3.0
Turkey,Istanbul,Kadıköy,2025-04-01,5.0,25.0,0.833,73.4,15.0,5.0,3.0
Turkey,Istanbul,Kadıköy,2025-05-01,8.0,23.0,0.742,78.0,11.0,5.0,4.0
Turkey,Istanbul,Kadıköy,2025-06-01,9.0,21.0,0.7,92.1,10.0,3.0,4.0
Turkey,Istanbul,Kadıköy,2025-07-01,10.0,21.0,0.677,79.9,13.0,10.0,5.0
Turkey,Istanbul,Kadıköy,2025-08-01,2.0,29.0,0.935,84.0,,,5.0
